slug,title,url,png,svg
adelaide-te-cavalcanti,Adelaide e Tê Cavalcanti,https://metisacademia.com.br/expo/fenearte/artesaos/adelaide-te-cavalcanti.html,qrcodes/adelaide-te-cavalcanti.png,qrcodes/adelaide-te-cavalcanti.svg
benedito,Benedito Santeiro,https://metisacademia.com.br/expo/fenearte/artesaos/benedito.html,qrcodes/benedito.png,qrcodes/benedito.svg
cida-lima,Mestra Cida Lima,https://metisacademia.com.br/expo/fenearte/artesaos/cida-lima.html,qrcodes/cida-lima.png,qrcodes/cida-lima.svg
cornelio,Mestre Cornélio,https://metisacademia.com.br/expo/fenearte/artesaos/cornelio.html,qrcodes/cornelio.png,qrcodes/cornelio.svg
diomar,Diomar das Veias,https://metisacademia.com.br/expo/fenearte/artesaos/diomar.html,qrcodes/diomar.png,qrcodes/diomar.svg
expedito-espedito-seleiro,Mestre Espedito Seleiro,https://metisacademia.com.br/expo/fenearte/artesaos/expedito-espedito-seleiro.html,qrcodes/expedito-espedito-seleiro.png,qrcodes/expedito-espedito-seleiro.svg
fido,Fido — provável Mestre Fida,https://metisacademia.com.br/expo/fenearte/artesaos/fido.html,qrcodes/fido.png,qrcodes/fido.svg
francisco-rosa-dos-santos-frs,FRS — Francisco Rosa dos Santos,https://metisacademia.com.br/expo/fenearte/artesaos/francisco-rosa-dos-santos-frs.html,qrcodes/francisco-rosa-dos-santos-frs.png,qrcodes/francisco-rosa-dos-santos-frs.svg
gilvan-samico,Gilvan Samico,https://metisacademia.com.br/expo/fenearte/artesaos/gilvan-samico.html,qrcodes/gilvan-samico.png,qrcodes/gilvan-samico.svg
corbiniano-lins,Corbiniano Lins,https://metisacademia.com.br/expo/fenearte/artesaos/corbiniano-lins.html,qrcodes/corbiniano-lins.png,qrcodes/corbiniano-lins.svg
henriqueta-targino,Henriqueta Targino,https://metisacademia.com.br/expo/fenearte/artesaos/henriqueta-targino.html,qrcodes/henriqueta-targino.png,qrcodes/henriqueta-targino.svg
irineia-antonio-nunes,Irinéia Rosa Nunes e Antônio Nunes,https://metisacademia.com.br/expo/fenearte/artesaos/irineia-antonio-nunes.html,qrcodes/irineia-antonio-nunes.png,qrcodes/irineia-antonio-nunes.svg
j-borges,J. Borges,https://metisacademia.com.br/expo/fenearte/artesaos/j-borges.html,qrcodes/j-borges.png,qrcodes/j-borges.svg
joel-galdino,Joel Galdino,https://metisacademia.com.br/expo/fenearte/artesaos/joel-galdino.html,qrcodes/joel-galdino.png,qrcodes/joel-galdino.svg
jose-alves-de-olinda,Zé Alves de Olinda,https://metisacademia.com.br/expo/fenearte/artesaos/jose-alves-de-olinda.html,qrcodes/jose-alves-de-olinda.png,qrcodes/jose-alves-de-olinda.svg
julio-das-oncas,Júlio das Onças,https://metisacademia.com.br/expo/fenearte/artesaos/julio-das-oncas.html,qrcodes/julio-das-oncas.png,qrcodes/julio-das-oncas.svg
luis-antonio,Mestre Luiz Antônio,https://metisacademia.com.br/expo/fenearte/artesaos/luis-antonio.html,qrcodes/luis-antonio.png,qrcodes/luis-antonio.svg
manoel-eudocio,Manuel/Manoel Eudócio,https://metisacademia.com.br/expo/fenearte/artesaos/manoel-eudocio.html,qrcodes/manoel-eudocio.png,qrcodes/manoel-eudocio.svg
marcos-siqueira,Mestre Marcos Siqueira,https://metisacademia.com.br/expo/fenearte/artesaos/marcos-siqueira.html,qrcodes/marcos-siqueira.png,qrcodes/marcos-siqueira.svg
maria-amelia,Mestra Maria Amélia da Silva,https://metisacademia.com.br/expo/fenearte/artesaos/maria-amelia.html,qrcodes/maria-amelia.png,qrcodes/maria-amelia.svg
mestre-cabral,Mestre Cabral,https://metisacademia.com.br/expo/fenearte/artesaos/mestre-cabral.html,qrcodes/mestre-cabral.png,qrcodes/mestre-cabral.svg
mestre-galdino,Mestre Galdino,https://metisacademia.com.br/expo/fenearte/artesaos/mestre-galdino.html,qrcodes/mestre-galdino.png,qrcodes/mestre-galdino.svg
mestre-zuza,Mestre Zuza,https://metisacademia.com.br/expo/fenearte/artesaos/mestre-zuza.html,qrcodes/mestre-zuza.png,qrcodes/mestre-zuza.svg
miguel-dos-santos,Miguel dos Santos,https://metisacademia.com.br/expo/fenearte/artesaos/miguel-dos-santos.html,qrcodes/miguel-dos-santos.png,qrcodes/miguel-dos-santos.svg
mirtes-rufino,Mirtes Rufino,https://metisacademia.com.br/expo/fenearte/artesaos/mirtes-rufino.html,qrcodes/mirtes-rufino.png,qrcodes/mirtes-rufino.svg
movimento-armorial,Movimento Armorial,https://metisacademia.com.br/expo/fenearte/artesaos/movimento-armorial.html,qrcodes/movimento-armorial.png,qrcodes/movimento-armorial.svg
nena,Mestre Nena,https://metisacademia.com.br/expo/fenearte/artesaos/nena.html,qrcodes/nena.png,qrcodes/nena.svg
nene-cavalcanti,Nené Cavalcanti,https://metisacademia.com.br/expo/fenearte/artesaos/nene-cavalcanti.html,qrcodes/nene-cavalcanti.png,qrcodes/nene-cavalcanti.svg
nenem,Mestre Seu Neném,https://metisacademia.com.br/expo/fenearte/artesaos/nenem.html,qrcodes/nenem.png,qrcodes/nenem.svg
nicola,Mestre Nicola,https://metisacademia.com.br/expo/fenearte/artesaos/nicola.html,qrcodes/nicola.png,qrcodes/nicola.svg
nuca-de-tracunhaem,Nuca de Tracunhaém,https://metisacademia.com.br/expo/fenearte/artesaos/nuca-de-tracunhaem.html,qrcodes/nuca-de-tracunhaem.png,qrcodes/nuca-de-tracunhaem.svg
paquinha,Paquinha,https://metisacademia.com.br/expo/fenearte/artesaos/paquinha.html,qrcodes/paquinha.png,qrcodes/paquinha.svg
pos,Paulo Orlando da Silva (P.O.S.),https://metisacademia.com.br/expo/fenearte/artesaos/pos.html,qrcodes/pos.png,qrcodes/pos.svg
rosalvo,Mestre Rosalvo,https://metisacademia.com.br/expo/fenearte/artesaos/rosalvo.html,qrcodes/rosalvo.png,qrcodes/rosalvo.svg
